LocationID,Tag,Invaded,Date,JulianDay,nymphs_alive,nymphs_dead,nymph_survival,adult_F_alive,adult_F_dead,adult_F_survival,adult_M_alive,adult_M_dead,adult_M_survival,avg_cc,visit_number,NOTES
N-6,3155,No,20181009,282,0,10,0,0,5,0,0,5,0,51.22,12,
N-7,3157,No,20181009,282,3,7,0.3,2,3,0.4,5,0,1,51.22,12,
N-8,3160,No,20181009,282,1,9,0.1,5,0,1,5,0,1,48.62,12,
N-9,3163,No,20181009,282,2,7,0.222222222,3,2,0.6,3,2,0.6,44.98,12,
N-10,3164,No,20181009,282,0,11,0,3,2,0.6,5,0,1,43.42,12,
N-11,3150,No,20181009,282,1,9,0.1,0,5,0,1,4,0.2,39.78,12,
N-12,3158,No,20181009,282,9,0,1,5,0,1,4,1,0.8,33.8,12,
C-1,3161,Yes,20181025,298,5,5,0.5,5,0,1,5,0,1,48.88,13,
C-2,3147,Yes,20181025,298,6,4,0.6,5,0,1,5,0,1,51.48,13,
C-3,3144,Yes,20181025,298,2,1,0.666666667,5,0,1,5,0,1,48.62,13,
C-4,3156,Yes,20181025,298,6,4,0.6,5,0,1,5,0,1,49.14,13,
C-5,3154,Yes,20181025,298,5,4,0.555555556,5,0,1,5,0,1,50.18,13,
C-6,3143,Yes,20181025,298,1,9,0.1,5,0,1,4,1,0.8,48.36,13,
C-7,3146,Yes,20181025,298,2,8,0.2,4,1,0.8,5,0,1,42.38,13,
C-8,3151,Yes,20181025,298,2,8,0.2,5,0,1,5,0,1,56.16,13,
C-9,3153,Yes,20181025,298,3,7,0.3,5,0,1,5,0,1,58.24,13,
C-10,3145,Yes,20181025,298,2,8,0.2,5,0,1,2,3,0.4,44.72,13,
C-11,3152,Yes,20181025,298,2,8,0.2,5,0,1,5,0,1,36.92,13,
C-12,3148,Yes,20181025,298,2,8,0.2,5,0,1,5,0,1,44.2,13,
N-1,3165,No,20181025,298,1,9,0.1,3,2,0.6,4,1,0.8,50.44,13,
N-2,3159,No,20181025,298,1,9,0.1,3,2,0.6,4,1,0.8,52.52,13,
N-3,3166,No,20181025,298,0,10,0,5,0,1,5,0,1,55.64,13,
N-4,3149,No,20181025,298,2,8,0.2,5,0,1,4,0,1,45.5,13,
N-5,3162,No,20181025,298,1,9,0.1,1,5,0.166666667,0,4,0,50.96,13,
N-6,3155,No,20181025,298,0,10,0,0,5,0,0,5,0,51.22,13,
N-7,3157,No,20181025,298,1,9,0.1,0,5,0,5,0,1,51.22,13,
N-8,3160,No,20181025,298,0,10,0,5,0,1,5,0,1,48.62,13,
N-9,3163,No,20181025,298,1,8,0.111111111,3,2,0.6,3,2,0.6,44.98,13,
N-10,3164,No,20181025,298,0,11,0,2,3,0.4,3,2,0.6,43.42,13,
N-11,3150,No,20181025,298,0,10,0,0,5,0,1,4,0.2,39.78,13,
N-12,3158,No,20181025,298,5,4,0.555555556,5,0,1,4,1,0.8,33.8,13,
